# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:dens[1]-dens[1]        7:dens[1]-dens[2]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[3]-dens[3]       11:T-dens[1]             12:T-dens[2]             13:T-dens[3]          
   18       1.176882847720e-10       8.987745168667e-16       1.791314915179e-13       0.000000000000e+00       1.456912641559e-04       9.994918931602e-05       7.815540881140e-05       5.198064328702e-05       4.170415751798e-05       1.944368632531e-08       1.506886030071e-08       1.081765368097e-08 
   19       1.192706716364e-10       9.730466766679e-16       1.887754794781e-13       0.000000000000e+00       1.624861731663e-04       1.120520991653e-04       8.803440424884e-05       5.881268313738e-05       4.735461798117e-05       1.957113467154e-08       1.526820114928e-08       1.103035889269e-08 
   20       1.209116269591e-10       1.035047608158e-15       1.967295051411e-13       0.000000000000e+00       1.798773037909e-04       1.246750681411e-04       9.840760755271e-05       6.603193607724e-05       5.335742402333e-05       1.965972701109e-08       1.543801303215e-08       1.122189171384e-08 
   21       1.226251882425e-10       1.083762653387e-15       2.029599266422e-13       0.000000000000e+00       1.978021958501e-04       1.377770459445e-04       1.092461443199e-04       7.362234872501e-05       5.970269691477e-05       1.970946162768e-08       1.557678939478e-08       1.139264031392e-08 
   22       1.244180326684e-10       1.133998888265e-15       2.077826749801e-13       0.000000000000e+00       2.162010849270e-04       1.513174938858e-04       1.205205861824e-04       8.156697800584e-05       6.637954712823e-05       1.971732536152e-08       1.567958114891e-08       1.153980667272e-08 
   23       1.262764885336e-10       1.206866260599e-15       2.116955561253e-13       0.000000000000e+00       2.350152725758e-04       1.652557095943e-04       1.322006843565e-04       8.984791689251e-05       7.337606886248e-05       1.969600044128e-08       1.575811050188e-08       1.167042204967e-08 
   24       1.281613072906e-10       1.324685260204e-15       2.153282937241e-13       0.000000000000e+00       2.541896289380e-04       1.795522455961e-04       1.442562537052e-04       9.844676222732e-05       8.067962829637e-05       1.965838301071e-08       1.582507354665e-08       1.179145661073e-08 
   25       1.300795687190e-10       1.490262823141e-15       2.191719055554e-13       0.000000000000e+00       2.736705492359e-04       1.941679908311e-04       1.566567543436e-04       1.073444677589e-04       8.827681521851e-05       1.959854415507e-08       1.587114871832e-08       1.189432612210e-08 
   26       1.320379392679e-10       1.698280060863e-15       2.236525633565e-13       0.000000000000e+00       2.934085229886e-04       2.090656302409e-04       1.693722077210e-04       1.165218272746e-04       9.615374232181e-05       1.950458577800e-08       1.588141485467e-08       1.196732411938e-08 
   27       1.340393698426e-10       1.941451870682e-15       2.288831225817e-13       0.000000000000e+00       3.133564214821e-04       2.242088542587e-04       1.823728457206e-04       1.259593560539e-04       1.042960100117e-04       1.938621431192e-08       1.586753151159e-08       1.202179796922e-08 
   28       1.360758879818e-10       2.211686915175e-15       2.348008687612e-13       0.000000000000e+00       3.334713316063e-04       2.395634488606e-04       1.956298031716e-04       1.356376690794e-04       1.126889493554e-04       1.925746463589e-08       1.584709605678e-08       1.207416195477e-08 
   29       1.381520119574e-10       2.508124116508e-15       2.411171637945e-13       0.000000000000e+00       3.537112561694e-04       2.550956370701e-04       2.091142062940e-04       1.455370935651e-04       1.213174372014e-04       1.912092498941e-08       1.582094037827e-08       1.212342865141e-08 
   30       1.402633460669e-10       2.831995439158e-15       2.473715100102e-13       0.000000000000e+00       3.740390781278e-04       2.707743310554e-04       2.227985811749e-04       1.556383904784e-04       1.301663312651e-04       1.897269367466e-08       1.578190319727e-08       1.216069243287e-08 
   31       1.423953480267e-10       3.183883275968e-15       2.530197498373e-13       0.000000000000e+00       3.944228766369e-04       2.865713492986e-04       2.366570782578e-04       1.659229048519e-04       1.392205840878e-04       1.880722096183e-08       1.572182218186e-08       1.217661965981e-08 
