# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       8.399689573103e+13       1.071295680415e-25       5.518813850358e-09       1.522251902310e+22       1.418981512724e+04       1.689326135656e-10       1.191900421686e+18       3.185782214359e-09       1.369720691902e+44       1.461228246033e+33       7.893006365077e+33       3.487799415444e-08       9.475301620897e+43       2.317250854085e+44       2.317250854085e+44       7.724169513306e+43      -5.599317276221e+52       1.939072341321e-06       5.734262462252e+00 
       8.341300469814e+13       1.086346313429e-25       5.557012627833e-09       1.501162076300e+22       1.418981512724e+04       1.701151418606e-10       1.183615115874e+18       3.208082689859e-09       1.332030393213e+44       1.430967094073e+33       7.729546983776e+33       3.487799415444e-08       9.214571860169e+43       2.253487579321e+44       2.253487579321e+44       7.511625264098e+43      -5.407390379305e+52       2.016635234974e-06       5.513713906012e+00 
       8.283317249071e+13       1.101608392786e-25       5.595211405307e-09       1.480364436334e+22       1.418981512724e+04       1.713059478536e-10       1.175387404046e+18       3.230539268688e-09       1.295377210063e+44       1.401332632241e+33       7.569472747261e+33       3.487799415444e-08       8.961016542097e+43       2.191478864363e+44       2.191478864363e+44       7.304929547577e+43      -5.222042129738e+52       2.094198128627e-06       5.309502279863e+00 
       8.225737089444e+13       1.117084889096e-25       5.635229172185e-09       1.459854934361e+22       1.418981512724e+04       1.725050894886e-10       1.167216885845e+18       3.253153043569e-09       1.259732604377e+44       1.372311882166e+33       7.412713551232e+33       3.487799415444e-08       8.714438249143e+43       2.131176429379e+44       2.131176429379e+44       7.103921430972e+43      -5.043047032285e+52       2.171761022280e-06       5.119877198439e+00 
       8.168557189121e+13       1.132778814703e-25       5.673427949660e-09       1.439629578414e+22       1.418981512724e+04       1.737126251150e-10       1.159103163699e+18       3.275925114873e-09       1.225068823353e+44       1.343892134248e+33       7.259200743210e+33       3.487799415444e-08       8.474644996064e+43       2.072533323046e+44       2.072533323046e+44       6.908444409866e+43      -4.870187320973e+52       2.249323915932e-06       4.943329708838e+00 
       8.111774765760e+13       1.148693224271e-25       5.713445716538e-09       1.419684431832e+22       1.418981512724e+04       1.749286134908e-10       1.151045842800e+18       3.298856590677e-09       1.191358877859e+44       1.316060942097e+33       7.108867092464e+33       3.487799415444e-08       8.241450080431e+43       2.015503885986e+44       2.015503885986e+44       6.718346286339e+43      -4.703252694160e+52       2.326886809585e-06       4.778552051877e+00 
       8.055387056366e+13       1.164831215379e-25       5.753463483416e-09       1.400015612492e+22       1.418981512724e+04       1.761531137853e-10       1.143044531082e+18       3.321948586812e-09       1.158576521413e+44       1.288806117079e+33       6.961646760573e+33       3.487799415444e-08       8.014671937265e+43       1.960043715222e+44       1.960043715222e+44       6.533479050465e+43      -4.542040058677e+52       2.404449703238e-06       4.624405211493e+00 
       7.999391317146e+13       1.181195929124e-25       5.793481250294e-09       1.380619292058e+22       1.418981512724e+04       1.773861855818e-10       1.135098839208e+18       3.345202226920e-09       1.126696229756e+44       1.262115722979e+33       6.817475272590e+33       3.487799415444e-08       7.794133997669e+43       1.906109629603e+44       1.906109629603e+44       6.353698765076e+43      -4.386353282750e+52       2.482012596891e-06       4.479892548634e+00 
       7.943784823382e+13       1.197790550732e-25       5.835318006575e-09       1.361491695232e+22       1.418981512724e+04       1.786278888808e-10       1.127208380544e+18       3.368618642508e-09       1.095693180972e+44       1.235978070776e+33       6.676289488803e+33       3.487799415444e-08       7.579664551354e+43       1.853659636186e+44       1.853659636186e+44       6.178865453690e+43      -4.236002957378e+52       2.559575490543e-06       4.344138228979e+00 
       7.888564869297e+13       1.214618310179e-25       5.875335773453e-09       1.342629099020e+22       1.418981512724e+04       1.798782841030e-10       1.119372771146e+18       3.392198973005e-09       1.065543236164e+44       1.210381713519e+33       6.538027577087e+33       3.487799415444e-08       7.371096612945e+43       1.802652897536e+44       1.802652897536e+44       6.008842991528e+43      -4.090806165907e+52       2.637138384196e-06       4.216369457538e+00 
       7.833728767921e+13       1.231682482819e-25       5.917172529735e-09       1.324027832009e+22       1.418981512724e+04       1.811374320917e-10       1.111591629738e+18       3.415944365816e-09       1.036222920661e+44       1.185315441318e+33       6.402628985822e+33       3.487799415444e-08       7.168267791965e+43       1.753049699933e+44       1.753049699933e+44       5.843498999525e+43      -3.950586261483e+52       2.714701277849e-06       4.095901758751e+00 
       7.779273850965e+13       1.248986390020e-25       5.957190296613e-09       1.305684273648e+22       1.418981512724e+04       1.824053941164e-10       1.103864577694e+18       3.439855976377e-09       1.007709405738e+44       1.160768276433e+33       6.270034417376e+33       3.487799415444e-08       6.971020166400e+43       1.704811422452e+44       1.704811422452e+44       5.682704741260e+43      -3.815172652152e+52       2.792264171502e-06       3.982126709897e+00 
       7.725197468684e+13       1.266533399813e-25       5.999027052894e-09       1.287594853551e+22       1.418981512724e+04       1.836822318752e-10       1.096191239021e+18       3.463934968211e-09       9.799804908440e+43       1.136729468465e+33       6.140185802134e+33       3.487799415444e-08       6.779200159740e+43       1.657900506891e+44       1.657900506891e+44       5.526335022727e+43      -3.684400593309e+52       2.869827065154e-06       3.874501663683e+00 
       7.671496989756e+13       1.284326927547e-25       6.040863809176e-09       1.269756050794e+22       1.418981512724e+04       1.849680074983e-10       1.088571240338e+18       3.488182512988e-09       9.530145863146e+43       1.113188489651e+33       6.013026273070e+33       3.487799415444e-08       6.592658421409e+43       1.612280428527e+44       1.612280428527e+44       5.374268094852e+43      -3.558110987275e+52       2.947389958807e-06       3.772541093587e+00 
