# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.5
# for k=1.04434e-05 to 34.4277 h/Mpc,
# number of wavenumbers equal to 581
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       7.722869207764e-04      -2.551803038290e+00      -5.490666672265e+00      -5.491264031548e+00      -2.490606225130e+00      -5.489859918383e+00       5.407484317357e-01       5.407614239529e-01 
       8.256132990724e-04      -2.490111586916e+00      -6.076338388292e+00      -6.077083532677e+00      -2.432131214553e+00      -6.075370608243e+00       5.402934772782e-01       5.403081200086e-01 
       8.825236860299e-04      -2.441991804227e+00      -6.743514365113e+00      -6.744437106850e+00      -2.390908511000e+00      -6.742381329987e+00       5.397964138756e-01       5.398103186000e-01 
       9.431286065835e-04      -2.415149240220e+00      -7.501650254759e+00      -7.502786112703e+00      -2.374534039624e+00      -7.500351755005e+00       5.392534698277e-01       5.392648014637e-01 
       1.007502149755e-03      -2.412799368880e+00      -8.360540147947e+00      -8.361926500688e+00      -2.385356451631e+00      -8.359074476874e+00       5.386627912005e-01       5.386705312364e-01 
       1.075678013165e-03      -2.431185573926e+00      -9.330090054497e+00      -9.331769927084e+00      -2.417923311098e+00      -9.328453919749e+00       5.380206025191e-01       5.380246796361e-01 
       1.147647569835e-03      -2.458989243337e+00      -1.042017064979e+01      -1.042218601775e+01      -2.458582629156e+00      -1.041835008242e+01       5.373256677349e-01       5.373268821142e-01 
       1.223360212424e-03      -2.479908356754e+00      -1.164034438977e+01      -1.164274112283e+01      -2.488577058188e+00      -1.163831682453e+01       5.365744014976e-01       5.365741181464e-01 
       1.302725951760e-03      -2.478656663132e+00      -1.299973560050e+01      -1.300255783818e+01      -2.490794363735e+00      -1.299746588878e+01       5.357671249122e-01       5.357667980257e-01 
       1.385619970074e-03      -2.448497186643e+00      -1.450680567634e+01      -1.451009529064e+01      -2.458016790701e+00      -1.450424994970e+01       5.349029113439e-01       5.349035877057e-01 
